Lemma,PoS,Cons,Freq(ipm),Length
безалаберный,a,БЗЛБРН,1.2,12
безалаберность,s,БЗЛБРНСТ,0.8,14
боязливо,adv,БЗЛВ,1.7,8
боязливый,a,БЗЛВ,1.3,9
безлюдье,s,БЗЛД,1.6,8
безлюдно,adv,БЗЛДН,0.9,8
безлюдный,a,БЗЛДН,6.0,9
обезлюдеть,v,БЗЛДТ,0.9,10
базилик,s,БЗЛК,0.6,7
базилика,s,БЗЛК,1.2,8
безликий,a,БЗЛК,4.6,8
безалкогольный,a,БЗЛКГЛН,1.5,14
безликость,s,БЗЛКСТ,0.5,10
базальный,a,БЗЛН,5.1,9
