Lemma,PoS,Cons,Freq(ipm),Length
бледнолицый,a,БЛДНЛЦ,0.7,11
обалденный,a,БЛДНН,0.8,10
бледно-розовый,a,БЛДНРЗВ,1.1,14
болдинский,a,БЛДНСК,0.7,10
блядский,a,БЛДСК,0.6,8
ублюдочный,a,БЛДЧН,0.6,10
блуждающий,a,БЛЖДЩ,2.2,10
ближний,a,БЛЖН,30.9,7
булыжный,a,БЛЖН,1.5,8
ближневосточный,a,БЛЖНВСТЧН,3.6,15
блаженный,a,БЛЖНН,15.8,9
блаженнейший,a,БЛЖННШ,1.1,12
ближайший,a,БЛЖШ,104.3,9
белозубый,a,БЛЗБ,1.9,9
близкий,a,БЛЗК,206.8,7
бальзаковский,a,БЛЗКВСК,0.6,13
близкородственный,a,БЛЗКРДСТВНН,0.6,17
облезлый,a,БЛЗЛ,3.4,8
близлежащий,a,БЛЗЛЖЩ,4.7,11
болезный,a,БЛЗН,0.8,8
болезненный,a,БЛЗННН,19.6,11
болезнетворный,a,БЛЗНТВРН,0.9,14
близорукий,a,БЛЗРК,3.5,10
белковый,a,БЛКВ,5,8
блоковый,a,БЛКВ,0.6,8
блоковский,a,БЛКВСК,2,10
балаковский,a,БЛКВСК,0.7,11
блокадный,a,БЛКДН,2.1,9
белокожий,a,БЛКЖ,0.5,9
блеклый,a,БЛКЛ,3.3,7
белокаменный,a,БЛКМНН,1.7,12
балконный,a,БЛКНН,2.3,9
балканский,a,БЛКНСК,2.5,10
белокурый,a,БЛКР,4.9,9
белокочанный,a,БЛКЧНН,0.7,12
балльный,a,БЛЛН,1,8
баллистический,a,БЛЛСТЧСК,5.1,14
беллетристический,a,БЛЛТРСТЧСК,0.5,17
белолицый,a,БЛЛЦ,0.6,9
беломраморный,a,БЛМРМРН,0.5,13
больной,a,БЛН,71,7
юбилейный,a,БЛН,12.8,9
обильный,a,БЛН,10.4,8
бальный,a,БЛН,2.4,7
беленый,a,БЛН,1.2,7
яблоневый,a,БЛНВ,1.7,9
беленький,a,БЛНК,6.1,9
былинный,a,БЛНН,1.1,8
балансовый,a,БЛНСВ,2.9,10
больничный,a,БЛНЧН,15.2,10
облупленный,a,БЛПЛНН,1.6,11
облепиховый,a,БЛПХВ,0.5,11
бильярдный,a,БЛРДН,2.4,10
бело-розовый,a,БЛРЗВ,1.1,12
белорусский,a,БЛРССК,15.4,11
белесый,a,БЛС,7.2,7
белоснежный,a,БЛСНЖН,9.8,11
областной,a,БЛСТН,59.6,9
блистательный,a,БЛСТТЛН,8,13
обольстительный,a,БЛСТТЛН,1.2,15
блестящий,a,БЛСТЩ,37.5,9
болтливый,a,БЛТЛВ,2.6,9
болотный,a,БЛТН,6.9,8
балетный,a,БЛТН,6.5,8
блатной,a,БЛТН,5.6,7
билетный,a,БЛТН,0.9,8
балтийский,a,БЛТСК,9.5,10
болотистый,a,БЛТСТ,2.1,10
облицовочный,a,БЛЦВЧН,0.9,12
беличий,a,БЛЧ,1.5,7
яблочный,a,БЛЧН,4.4,8
облачный,a,БЛЧН,2.2,8
блочный,a,БЛЧН,1.9,7
обличительный,a,БЛЧТЛН,1,13
оболочечный,a,БЛЧЧН,0.7,11
большой,a,БЛШ,944.4,7
больший,a,БЛШ,128.9,7
большевистский,a,БЛШВСТСК,9.2,14
большевицкий,a,БЛШВЦК,0.7,12
большеголовый,a,БЛШГЛВ,1.2,13
большеглазый,a,БЛШГЛЗ,1.2,12
большегрузный,a,БЛШГРЗН,1.2,13
блошиный,a,БЛШН,0.8,8
большеротый,a,БЛШРТ,0.6,11
большущий,a,БЛШЩ,2.4,9
бомбовый,a,БМБВ,1.9,8
бамбуковый,a,БМБКВ,2.9,10
бомбардировочный,a,БМБРДРВЧН,0.8,16
бумажный,a,БМЖН,21.9,8
объемный,a,БМН,11.8,8
обменный,a,БМНН,4.3,8
обманный,a,БМНН,1.6,8
бауманский,a,БМНСК,1,10
обманчивый,a,БМНЧВ,4.2,10
обморочный,a,БМРЧН,0.9,10
объемистый,a,БМСТ,2.8,10
буйный,a,БН,7.7,6
убойный,a,БН,2.3,7
ебаный,a,БН,0.8,6
обойный,a,БН,0.5,7
бангкокский,a,БНГККСК,0.6,11
бенгальский,a,БНГЛСК,1.2,11
обнадеживающий,a,БНДЖВЩ,1.7,14
бандитский,a,БНДТСК,6.9,10
обнаженный,a,БНЖНН,11.6,10
бензиновый,a,БНЗНВ,5.6,10
банковский,a,БНКВСК,38,10
банкирский,a,БНКРСК,0.5,10
банкетный,a,БНКТН,1.7,9
банальный,a,БНЛН,13.6,9
банный,a,БНН,4.3,6
убиенный,a,БНН,2.5,8
банановый,a,БННВ,1.3,9
бунинский,a,БННСК,1,9
абонентский,a,БННТСК,2.5,11
бинарный,a,БНРН,1.6,8
обонятельный,a,БНТЛН,1,12
бунтарский,a,БНТРСК,0.7,10
баночный,a,БНЧН,0.7,8
биполярный,a,БПЛРН,0.7,10
баптистский,a,БПТСТСК,0.5,11
бурый,a,БР,8.7,5
биробиджанский,a,БРБДЖНСК,1.5,14
барабанный,a,БРБНН,3.5,10
обрабатывающий,a,БРБТВЩ,1.8,14
бравый,a,БРВ,4.7,6
буровой,a,БРВ,4.7,7
боровой,a,БРВ,0.8,7
оборванный,a,БРВНН,3.1,10
бревенчатый,a,БРВНЧТ,4.9,11
бравурный,a,БРВРН,1.1,9
бериевский,a,БРВСК,0.5,10
обрывистый,a,БРВСТ,1.4,10
бровастый,a,БРВСТ,0.6,9
боровицкий,a,БРВЦК,0.8,10
обрывочный,a,БРВЧН,0.6,10
береговой,a,БРГВ,8.1,9
бригадный,a,БРГДН,2.7,9
бургундский,a,БРГНДСК,1,11
бредовый,a,БРДВ,3,8
бордовый,a,БРДВ,2.9,8
обрядовый,a,БРДВ,1.2,9
бродвейский,a,БРДВСК,1.4,11
бородавчатый,a,БРДВЧТ,0.5,12
бородинский,a,БРДНСК,1.8,11
бородатый,a,БРДТ,10.7,9
бродячий,a,БРДЧ,5.4,8
биржевой,a,БРЖВ,3.7,8
буржуазный,a,БРЖЗН,14.6,10
бережливый,a,БРЖЛВ,0.8,10
бережный,a,БРЖН,2.4,8
береженый,a,БРЖН,0.8,9
брежневский,a,БРЖНВСК,3.6,11
буржуйский,a,БРЖСК,0.6,10
борзой,a,БРЗ,0.7,6
березовый,a,БРЗВ,9.9,9
бирюзовый,a,БРЗВ,1.7,9
абразивный,a,БРЗВН,0.9,10
образованный,a,БРЗВНН,19.4,12
образованнейший,a,БРЗВННШ,0.5,15
березовский,a,БРЗВСК,0.9,11
образовательный,a,БРЗВТЛН,19.6,15
брезгливый,a,БРЗГЛВ,3.3,10
обрюзгший,a,БРЗГШ,0.7,9
бразильский,a,БРЗЛСК,4.8,11
образный,a,БРЗН,5.9,8
брезентовый,a,БРЗНТВ,6,11
образцовый,a,БРЗЦВ,6.5,10
образцово-показательный,a,БРЗЦВПКЗТЛН,1,23
бракованный,a,БРКВНН,1,11
барокко,a,БРКК,0.8,7
бруклинский,a,БРКЛНСК,0.5,11
бракоразводный,a,БРКРЗВДН,0.6,14
брокерский,a,БРКРСК,1.1,10
бюрократический,a,БРКРТЧСК,8.7,15
абрикосовый,a,БРКСВ,1.2,11
бриллиантовый,a,БРЛЛНТВ,2.6,13
берлинский,a,БРЛНСК,8.8,10
бермудский,a,БРМДСК,1,10
беременный,a,БРМНН,14.9,10
бременский,a,БРМНСК,0.8,10
бирманский,a,БРМНСК,0.6,10
обременительный,a,БРМНТЛН,2,15
бурный,a,БРН,27.4,6
бараний,a,БРН,4.1,7
барный,a,БРН,1.1,6
бронебойный,a,БРНБН,0.9,11
броневой,a,БРНВ,1.5,8
броуновский,a,БРНВСК,0.6,11
берингов,a,БРНГВ,1.3,8
берендеев,a,БРНДВ,0.5,9
бронзовый,a,БРНЗВ,15.2,9
барнаульский,a,БРНЛСК,1,12
оборонный,a,БРНН,15.9,9
бронный,a,БРНН,3.5,7
бренный,a,БРНН,2.1,7
бранный,a,БРНН,1.5,7
барионный,a,БРНН,0.5,9
оборонно-промышленный,a,БРННПРМШЛНН,1.4,21
бронированный,a,БРНРВНН,4.7,13
брянский,a,БРНСК,4.8,8
